[MCP TEXT METADATA]
MCP code: Pel
Title: Hikayat Pelanduk Jenaka
Manuscript: MS Mal.-Pol. 70, Département des manuscrits, Bibliothèque nationale, Paris.
Dates: text: unknown; manuscript: about 1650.
Provenance: text: unknown; manuscript: ? east Java.
MCP word count: 6702 words.
MCP reference scheme: to the extant pages (2-74) and lines of the manuscript.
MCP text notes:
- Pel 49:2 | aur | awar
- Pel 39:2 | singa | seharusnya: kera
- Pel 59:4 | sini-sini | ? = seni-seni
- Pel 25:2 | sungguhlah | = sungguhkah
- Pel 6:1 | takluk | tangluk
- Pel 52:2 | takut | takut ][ takutkan
- Pel 71:7 | terberak | t.r.t.i.r.k
- Pel 73:7 | tinggallah | tinggal[la]h
- Pel 16:6 | tuanku | MS: tu tuanku
- Pel 16:6 | tuanku | tu tuanku
Source bibliography: https://mcp.anu.edu.au/N/Pel_bib.html
Source text notes: https://mcp.anu.edu.au/N/Pel_notes.html
[END MCP TEXT METADATA]
