[MCP TEXT METADATA]
MCP code: Aceh
Title: Hikayat Aceh
Edition: Teuku Iskandar (ed.), De Hikajat Atjéh , ’s-Gravenhage: Nijhoff, 1958. Verhandelingen van het Koninklijk Instituut voor Taal-, Land en Volkenkunde, deel 26.
Manuscript: Cod. Or. 1954, Leiden University Library.
Dates: text: ±1600-1625; manuscript: ±1675-1700.
Provenance: text: Aceh; manuscript: unknown.
MCP word count: 37933 words
MCP reference scheme: to the pages (tp, 1-281) and lines of the underlying manuscript.
Editorial notes:
- This old text has many unusual features, which are thoroughly treated in Iskandar's notes. Noteworthy are: Spelling. The Arabic script of the manuscript has many characteristic seventeenth century traits, but these are generally disguised by Iskandar's transcription, upon which the MCP text is based. There are also a few instances of Acehnese influence on normal Malay spelling. Vocabulary. The text has many words which are found rarely or not at all in other Malay sources. Iskandar provides an extensive glossary of rare words, and copious footnotes tracing items of vocabulary to Acehnese, Persian and Arabic origins. Many of these are based on the annotations made earlier on the manuscript by an early Dutch scholar, perhaps Leidecker (before 1701). Morphology. Word formation is sometimes influenced by Acehnese in, for instance, different patterns of nasalisation, and particularly (a) the use of mem- for memb- ; and (b) the use of nasalisation alone in place of the meN- prefix. Also noteworthy are the frequency of the -i verbal suffix, the occasional use of be- for ber-, and some non-standard or complex morphologies like berlihat or sekelamaannya. Iskandar's edition appears carefully prepared and well annotated. It is not a diplomatic edition; indeed this would have been undesirable given the difficulties the text presents. Nevertheless, in a few places where Iskandar has emended the text, I have restored the original reading, always noting Iskandar's emendation as well.
Preparation:
- Added: 1999 - April 2000
- The text was scanned in Canberra by the MCP using Recognita™ OCR, and its spelling modernised.
- The pages of the manuscript are indicated in Iskandar's edition; the lines have been imputed.
MCP text notes:
- Aceh 209:6 | ada | [a]da
- Aceh 235:17 | kapur | kiranya: kapulaga
- Aceh 184:7 | karunia | karu[n]ia
- Aceh 172:15 | kedua | MS: kenda
- Aceh 172:15 | kedua | kenda
- Aceh 217:8 | kedua | ked[ua]
- Aceh 32:12 | keésokan | ke[é]sokan
- Aceh 273:4 | keésokan | ke[é]sokan
- Aceh 199:3 | kelakuan | ke[la]kuan
- Aceh 219:10 | kelakuan | ke[la]kuan
- Aceh 110:4 | kelambu | ke[lam]bu
- Aceh 205:15 | keliling | k.l.t.n.ng
- Aceh 205:15 | keliling | k.l.t.n.ng
- Aceh 170:2 | kemaluanku | kemal[u]anku
- Aceh 221:9 | kembali | kemba[li]
- Aceh 26:7 | kembalilah | kembali[la]h
- Aceh 231:9 | kemenyan | MS: mikian [?]
- Aceh 231:9 | kemenyan | mikian [?]
- Aceh 101:1 | kemuliaan | kemulia(n)an
- Aceh 159:11 | kepada | kepada kepada
- Aceh 159:11 | kepada | kepada (kepada)
- Aceh 279:10 | kepada | kepada(nya)
- Aceh 201:16 | kepala | kepala kepala
- Aceh 201:16 | kepala | kepala (kepala)
- Aceh 235:17 | kepala kapur | kiranya: kapulaga
- Aceh 191:1 | kerbau | [ker]bau
- Aceh 174:6 | kerlap | k.r.a.l.p.u
- Aceh 174:6 | kerlap | k.r.a.l.p.u
- Aceh 81:5 | ketatahan | MS: ketahanan
- Aceh 81:5 | ketatahan | ketahanan
- Aceh 87:12 | keti | atau: ketai
- Aceh 87:12 | keti | atau: ketai
- Aceh 144:10 | kiap | k.y.p
- Aceh 144:10 | kiap | k.y.p
- Aceh 275:17 | kota | MS: kata
- Aceh 275:17 | kota | kata
- Aceh 161:7 | kubu | k.u.n.j, ? = kota
- Aceh 162:17 | kuda | ku[da]
- Aceh 172:7 | kuda | ku[da]
- Aceh 173:8 | kuda | ku[da]
- Aceh 209:10 | kuda | ku[da]
- Aceh 161:7 | kunj | ? = kota, kubu
- Aceh 177:1 | lalu | kalu
- Aceh 125:10 | lalu | la[lu]
- Aceh 177:1 | lalu | kalu
- Aceh 179:14 | lalu | lalu(lah)
- Aceh 271:16 | lalu | la[lu]
- Aceh 12:10 | Maka | Maka (maka)
- Aceh 49:8 | Maka | Maka maka
- Aceh 52:11 | Maka | Maka maka
- Aceh 170:7 | Maka | Maka maka
- Aceh 12:10 | Maka | Maka (maka)
- Aceh 49:8 | Maka | Maka (maka)
- Aceh 52:11 | Maka | Maka (maka)
- Aceh 170:7 | Maka | Maka (maka)
- Aceh 199:6 | maka | maka(m)
- Aceh 177:17 | Manakah | atau: antusan: "Dengan beperlihatan manakah ..."
- Aceh 175:9 | manis | MS: masa
- Aceh 175:9 | manis | masa
- Aceh 70:16 | Marhum | al-Mar al-Marhum
- Aceh 230:9 | 9 mas | ? keris
- Aceh 162:13 | masa | MS: mati
- Aceh 162:13 | masa | mati
- Aceh 39:14 | matilah | MS: setelah
- Aceh 39:14 | matilah | setelah
- Aceh 28:11 | Melaka | Mela[ka]
- Aceh 86:14 | melekah | me[le]kah
- Aceh 18:16 | membawa | memba[wa]
- Aceh 50:3 | membicarakan | atau: membicara akan
- Aceh 36:5 | membuangkan | [mem]buangkan
- Aceh 153:5 | memegang mempelam | MS: memegang memegang
- Aceh 153:5 | memegang mempelam | memegang memegang [?]
- Aceh 36:4 | memelah | [me]melah
- Aceh 134:16 | memeri | memeri ma
- Aceh 134:16 | memeri | memeri (ma)
- Aceh 143:1 | memiasakan | memia[sa]kan
- Aceh 230:8 | memikulkan | ? memikul keris
- Aceh 201:2 | mena-mena | ? = menyamai
- Aceh 9:1 | menangis | m.n.a.ng.th
- Aceh 9:1 | menangis | m.n.a.ng.th
- Aceh 135:6 | menangkap-nangkap | ? = mendengkap-dengkap
- Aceh 211:9 | menderum | mandurum
- Aceh 121:12 | mendudukkan | men[du]dukkan
- Aceh 198:17 | mengajarkan | menga[jar]kan
- Aceh 202:13 | mengalahkan | [menga]lahkan
- Aceh 264:10 | mengapa | MS: mengadap
- Aceh 264:10 | mengapa | mengadap
- Aceh 66:7 | mengarik | mengarik, atau: mengamok [?]
- Aceh 66:7 | mengarik | atau: mengamok [?]
- Aceh 131:7 | mengempas-ngempas | menge[m]pas-ngempas
- Aceh 141:13 | 141:13 Mengendara | Mengendaraa
- Aceh 141:13 | Mengendara | Mengendara(a)
- Aceh 279:1 | mengetuhai | MS: mengetahui
- Aceh 279:1 | mengetuhai | mengetahui
- Aceh 24:4 | menghinakan | meng[h]inakan
- Aceh 24:4 | menghinakan | meng[h]inakan
- Aceh 176:1 | menghukumkan | m.ng.h:m.k.n
- Aceh 99:5 | 5 mengisi | mengiasi
- Aceh 99:5 | mengisi | mengiasi
- Aceh 177:2 | mengucap | mengucap mengucap
- Aceh 177:2 | mengucap | mengucap mengucap
- Aceh 163:13 | menitahkan | (di)menitahkan
- Aceh 166:16 | menladu | ? = mengadu
- Aceh 166:17 | menladu | ? = mengadu
- Aceh 199:5 | menombakkan | m.n.m.b.ng.k.n, ? menumbangkan
- Aceh 199:5 | menombakkan | m.n.m.b.ng.k.n, ? menembungkan, menumbangkan
- Aceh 208:15 | menyuruhkan | menyu[ru]hkan
- Aceh 213:11 | merangkul | m.n.ng.k.l
- Aceh 213:11 | merangkul | m.n.ng.k.l
- Aceh 14:5 | Munawwar | seharusnya: Muhammad
- Aceh 77:8 | Munawwar | Mansur
- Aceh 14:5 | Munawwar | seharusnya: Muhammad
- Aceh 77:8 | Munawwar | Mansur
- Aceh 125:1 | Munawwar | Munawwa[r]
- Aceh 125:1 | Munawwar | Munawwa[r]
- Aceh 214:4 | Munawwar | Munawwa[r]
- Aceh 269:5 | Naga | atau: Paku
- Aceh 131:14 | nakhoda | nakho[da]
- Aceh 164:10 | 164:10 negeri | n.g.r.ny
- Aceh 164:10 | negeri | n.g.r.ny
- Aceh 136:3 | nénda | bunda, Iskandar: nénda
- Aceh 136:3 | nénda | bunda, Iskandar: nénda
- Aceh 118:4 | niscaya | Iskandar: nistaja
- Aceh 118:4 | niscaya | Iskandar: nistaja
- Aceh 258:16 | Nur Selawat | k.n.u.r. s .l.w.a.t
- Aceh 172:17 | nyahkan | nyihkan
- Aceh 129:7 | 7 nyelia | th.l.y
- Aceh 129:10 | nyelia | ny.l.l.y
- Aceh 129:7 | nyelia | th.l.y
- Aceh 129:10 | nyelia | ny.l.l.y
- Aceh 251:9 | oléh | MS: alah
- Aceh 251:9 | oléh | alah
- Aceh 213:16 | oléhmu | [o]léhmu
- Aceh 278:16 | orang .. lagi yang | ditografi
- Aceh 111:14 | oranglah | o[ra]nglah
- Aceh 108:17 | 108:17 padagam | = pedaka
- Aceh 261:13 | pagi | MS: pali
- Aceh 261:13 | pagi | pali
- Aceh 124:14 | panta | panta dan panta
- Aceh 124:14 | panta | panta (dan panta)
- Aceh 165:16 | pantasnya | pantas[nya]
- Aceh 228:16 | patma | ? petam
- Aceh 155:3 | 3 pegawé | Iskandar: bahasa Acéh, = azimat
- Aceh 155:3 | pegawé | Iskandar: bahasa Acéh, = azimat
- Aceh 177:14 | penah | MS: penad
- Aceh 147:6 | penghulu | penghulu penghulu
- Aceh 147:6 | penghulu | penhulu penghulu
- Aceh 144:6 | penjerat | penjera[t]
- Aceh 170:16 | perada | per[a]da
- Aceh 25:8 | perang | pe[rang]
- Aceh 155:14 | perang | pera[ng]
- Aceh 13:17 | perempuan | [pere]mpuan
- Aceh 188:1 | pergunainya pun | lebih baik: pergunai ini guna atau: pergunai supaya
- Aceh 110:1 | perhiasan | perhias[an]
- Aceh 158:17 | permainan | permain[an]
- Aceh 215:9 | persalinan | MS: persakinan
- Aceh 215:9 | persalinan | persakinan
- Aceh 212:10 | persorak | = bersorak
- Aceh 212:10 | persorak | = bersorak
- Aceh 110:14 | pertuan | ? = pertua
- Aceh 110:14 | pertuan | seharusnya: pertua
- Aceh 33:16 | 33:16 Pidada | = Peudada
- Aceh 277:6 | 6 pikir | MS: pergi
- Aceh 277:6 | pikir | MS: pergi
- Aceh 277:6 | pikir | pergi
- Aceh 277:6 | pikir | pergi
- Aceh 122:3 | pilihkan | [pi]lihkan
- Aceh 231:12 | pilpil diraz | Persian: filfil diraz, ‘long pepper’, i.e. ‘cabai’
- Aceh 188:1 | pun | Iskandar: = pergunai ini guna atau: pergunai supaya
- Aceh 270:11 | pun | ? = yang
- Aceh 270:11 | pun | ? = yang
- Aceh 133:14 | ra`yat | [ra]`yat
- Aceh 141:3 | Raksyasya | Raksya[sya]
- Aceh 160:2 | Raksyasya | Raksya[sya]
- Aceh 92:3 | 3 ratl | r.t:l, (ukuran berat)
- Aceh 92:3 | ratl | r.t:l, (ukuran berat)
- Aceh 204:11 | Ratna | MS: Ratina
- Aceh 204:11 | Ratna | Ratina
- Aceh 126:14 | ronggai | MS: donggai
- Aceh 36:13 | rumahnya | ruma[h]nya
- Aceh 27:15 | sahlah | salinan: l.h
- Aceh 27:15 | sahlah | s:l.h
- Aceh 29:10 | Salah | Sala[h]
- Aceh 199:14 | samas | = semas
- Aceh 38:11 | 38:11 Samutera | Iskandar: Sumatera
- Aceh 38:11 | Samutera | Iskandar: Sumatera
- Aceh 19:5 | 5 sangkanya | sangkanya sangkanya
- Aceh 19:5 | sangkanya | sangkanya (sangkanya)
- Aceh 87:7 | sasaigan | ? atau: sesegan
- Aceh 170:16 | sasimburan | ? bersimburan
- Aceh 170:16 | sasimburan | ? bersimburan
- Aceh 276:6 | sebenarnyalah | MS: sebarbalah [?]
- Aceh 276:6 | sebenarnyalah | sebarbalah [?]
- Aceh 171:14 | sebesar | sebe[sa]r
- Aceh 275:6 | 6 segala | MS: sukalah
- Aceh 207:4 | segala | sega[la]
- Aceh 275:6 | segala | sukalah
- Aceh 280:11 | sejahtera | seja[h]tera
- Aceh 230:17 | sekalian | [se]kalian
- Aceh 32:14 | sekira-kira | (se)kira
- Aceh 197:17 | 197:17 sembah | seharusnya: sabda
- Aceh 197:17 | sembah | seharusnya: sabda
- Aceh 156:7 | sepah | MS: sukma
- Aceh 156:7 | sepah | sukma
- Aceh 160:15 | sepah | setengah
- Aceh 160:17 | sepah | setengah
- Aceh 117:6 | seperti | seper[ti]
- Aceh 109:3 | seramba | ? =serambah, serambi
- Aceh 109:3 | seramba | ? =serambah, serambi
- Aceh 112:3 | Seri | Si
- Aceh 68:11 | Seru | seharusnya: Seri
- Aceh 68:11 | Seru | seharusnya: Seri
- Aceh 128:1 | setahun | [seta]hun
- Aceh 172:11 | Setelah | MS: sembah
- Aceh 172:11 | Setelah | sembah
- Aceh 160:15 | 160:15 setengah | Iskandar: sepah
- Aceh 160:17 | setengah | Iskandar: sepah
- Aceh 175:8 | sikap | MS: mikap
- Aceh 175:8 | sikap | mikap
- Aceh 259:13 | sikin | k.k.i.n
- Aceh 259:13 | sikin | k.k.i.n
- Aceh 185:9 | singgahasana | singgahasa[na]
- Aceh 127:3 | 3 sudah | sudah sudah
- Aceh 127:3 | sudah | sudah (sudah)
- Aceh 62:5 | sultan | sulta[n]
- Aceh 75:10 | sultan | sulta[n]
- Aceh 28:2 | Syah | Sya[h]
- Aceh 123:13 | Syah | syah asyah
- Aceh 4:3 | Syah | Sya[h]
- Aceh 23:14 | Syah | Sya[h]
- Aceh 27:4 | Syah | Sya[h]
- Aceh 28:2 | Syah | Sya[h]
- Aceh 123:13 | Syah | syah (asyah)
- Aceh 115:5 | [tadapat | MS ruang kosong sepanjang satu perkataan
- Aceh 222:12 | ta`luk | lu[k]
- Aceh 115:5 | [tadapat] | ruang kosong panjangnya satu perkataan
- Aceh 224:9 | Taimunus | = Tima´us (Timeus)
- Aceh 224:9 | Taimunus | = Tima´us
- Aceh 54:11 | takdir | takd[ir]
- Aceh 144:7 | tali | MS: kal
- Aceh 144:7 | tali | kal
- Aceh 42:5 | Tangkap | ? Tingkap
- Aceh 42:5 | Tangkap | ? Tingkap
- Aceh 34:16 | Tanti | = Tanni
- Aceh 34:16 | Tanti | = Tanni
- Aceh 275:17 | tawani | MS: hawani
- Aceh 192:9 | tempatnya | p.m.ng.y.ny [?]; Iskandar: tempatnya
- Aceh 192:9 | tempatnya | p.m.ng.j.ny [?]
- Aceh 8:2 | tenggahlah | Acehnese: teungoh
- Aceh 227:3 | tenggahlah | tengga[h]lah
- Aceh 157:6 | tepi | MS: s.t.p/q
- Aceh 105:1 | tepik | tapuk
- Aceh 105:1 | tepik | tapuk
- Aceh 196:15 | terdatang | = berdatang
- Aceh 196:15 | terdatang | = berdatang
- Aceh 138:4 | terlalu | terla[lu]
- Aceh 204:4 | tertawa | [ter]tawa
- Aceh 23:8 | tiada | tia[da]
- Aceh 4:2 | tiada | tia[da]
- Aceh 23:8 | tiada | tia[da]
- Aceh 35:17 | tiada | tia[da]
- Aceh 49:7 | tuan | tu[an]
- Aceh 206:17 | tuan | (tu) tuan
- Aceh 35:5 | tuan-tuan | tu[an]-tuan
- Aceh 218:6 | Tuanku | Tua[n]ku
- Aceh 174:2 | tubuh | tu[buh]
- Aceh 228:16 | tupuk | = tutup
- Aceh 228:16 | tupuk patma | ? tutup petam
- Aceh 6:7 | turun | tu[ru]n
- Aceh 185:10 | turunlah | purunlah
- Aceh 185:10 | turunlah | purunlah
- Aceh 159:1 | ulah | MS: u(a)lah
- Aceh 159:1 | ulah | u(a)lah
- Aceh 56:14 | utusan | MS: antusan
- Aceh 56:14 | utusan | atau : antasan
- Aceh 58:4 | Warta | atau: waktu
- Aceh 58:4 | Warta | atau: waktu
- Aceh 224:17 | yang | yang yang
- Aceh 224:17 | yang | yang yang
- Aceh 163:5 | zamrud | zamru[d]
Source bibliography: https://mcp.anu.edu.au/N/Aceh_bib.html
Source text notes: https://mcp.anu.edu.au/N/Aceh_notes.html
[END MCP TEXT METADATA]
§ ... daripada daging perburuan jua. Maka raja Indera Syah pun dibawa oranglah kepada raja Cina. Maka dipermulia raja Cina akan dia dan diberikannyalah yang ditinggalkan raja Iskandar itu. Maka disuruh raja Cina perbuat sebuah istana di halaman maligai. Maka diberikan raja pupal akan raja Indera Syah. Maka raja Indera Syah duduk sekelamaannya dengan segala inangda kakandanya dan segala dayang-dayang mengadap dia. Kata yang empunya riwayat: maka ada bagi raja Indera Syah itu seorang isterinya bernama puteri Nur Kamarain. Maka selama raja Indera Syah duduk di negeri Cina itu maka puteri Nur Kamarain pun hamil. Maka berapa lamanya sampailah kepada sembilan bulan hamilnya itu maka dimasukkan Allah ta`ala ke dalam hati puteri itu suatu bicara: "Jikalau beranak aku dalam negeri ini apa baik,* karena anakku daripada anak cucu raja yang mahabesar ..."
§ 
