[MCP TEXT METADATA]
MCP code: CJen
Title: Cerita Jenaka
Edition: Cherita Jenaka , edisi baru, Kuala Lumpur: Oxford University Press, 1963.
Provenance: text: Perak, collected by Raja Haji Yahya.
MCP word count: 22389 words, including 23 verses
MCP reference scheme: to the pages (1-96) and lines of the 1963 edition.
Editorial notes and bibliography:
- The text is a collection of five stories, as follows:
- tagpages 1908 ed.pages 1960 ed.pages 1963 ed. Pak KadokCJen.K1-121-111-10 Pak PandirCJen.P14-5014-5111-47 Lebai MalangCJen.M51-5653-5848-52 Pak BelalangCJen.B58-8460-8753-79 Si-LuncaiCJen.L86-10290-10780-96
- This collection of stories was prepared for the Malay Literature Series, and first published in 1908. It is based on material collected and written down by Raja Yahya Haji in Perak, edited and put through the press by Winstedt and Sturrock.
- Ideally the text presented here should be that of the first edition of 1908; however this is not available to me. Instead, the readings of the 1960 and 1963 editions have been compared. The editors of the 1963 edition (perhaps Mohd. Taib Othman) have in some instances adjusted the text to modern tastes, for example, by changing orang Keling to orang India. The 1960 text seems most often to have the harder readings, and therefore I have supposed it to be closer to the original 1908 edition. Consequently, except where the 1960 edition is clearly defective, its readings have been preferred. The significant divergences are listed in the notes. The punctuation has by and large also been aligned with the 1960 edition. Despite this preference for the older edition, the page references are to the more widely available 1983 edition.
References:
- • [Raja Haji Yahya], Cherita Jenaka, iaitu Pa' Kadok, Pa' Pandir, Lebai Malang, Pa' Belalang, Si-Lunchai, ed. R.O. Winstedt & A.J. Sturrock, Singapore: Malayan Publishing House, 1908. Malay Literature Series no.6. Text pp.1-102.
- • [Raja Haji Yahya], Cherita Jenaka, mengandongi cherita2 Pa' Kadok, Pa' Pandir, Lebai Malang, Pa' Belalang, Si-Lunchai, di-susun oleh R.O. Winstedt dan A.J. Sturrock, Singapura: Malayan Publishing House, 1960. Siri Kesusasteraan Melayu, bil.6. Text pp.1-107.
- • Raja Haji Yahya, Cherita Jenaka, edisi baru, di-dasarkan pada naskah Sir R.O. Winstedt dan A.J. Sturrock dengan Kata Pengantar oleh Mohd. Taib Osman, Kuala Lumpur: Oxford University Press, 1963. Text pp.1-96.
Preparation:
- Added: July 2007
- The text of the 1963 edition was scanned in Canberra by the MCP using Recognita™ OCR, and its spelling modernised. It was then edited against the text of the 1980 edition.
MCP text notes:
- CJen.B 64:22 | Adakah | 1960 ed.: Adalah
- CJen.B 65:25 | dilepaskan | 1963 ed.: lepaskan
- CJen.P 15:4 | diminta | 1963 ed.: minta
- CJen.L 96:10 | dipangku | 1963 ed.: dipandu
- CJen.B 57:27 | direndang | 1963 ed.: direndangnya
- CJen.P 33:18 | dirinya | 1963 ed.: hatinya
- CJen.B 63:12 | disanggupnya | 1963 ed.: disanggupinya
- CJen.B 66:18 | diserah | 1963 ed.: diserahkan
- CJen.L 80:4 | ditabal | 1963 ed.: ditabalkan
- CJen.P 16:9 | ditangkap oleh | 1963 ed.: [ absent ]
- CJen.P 15:25 | ditimang-timang | 1963 ed.: ditimang
- CJen.K 7:29 | ditukul | 1963 ed.: dipukul
- CJen.P 26:33 | gembiranya | 1963 ed.: berangnya
- CJen.P 43:16 | gembiranya | 1963 ed.: bengisnya
- CJen.L 93:6 | gulitanya | 1963 ed.: gulitalah
- CJen.M 48:5 | Ia itu | 1963 ed.: iaitu
- CJen.P 20:2 | Ia pun tarulah | 1963 ed.: Tak ketahuanlah
- CJen.P 24:26 | ia teringatkan anaknya yang tinggal di rumah; lalu | 1963 ed.: [ absent ]
- CJen.L 88:4 | indah-indahnya | 1963 ed.: indahnya
- CJen.K 8:20 | isteri aku | 1963 ed.: isteriku
- CJen.P 11:14 | istimewa | 1963 ed.: teristimewa
- CJen.P 34:6 | itu | 1963 ed.: [ absent ]
- CJen.L 90:29 | itu | 1963 ed.: [ absent ]
- CJen.P 46:11 | Itulah | 1963 ed.: Ialah
- CJen.P 18:25 | Jauhlah | 1963 ed.: Juallah
- CJen.P 32:22 | jika | 1963 ed.: jikalau
- CJen.B 64:1 | jika | 1963 ed.: jikalau
- CJen.P 26:25 | kampung | 1963 ed.: rumah
- CJen.B 66:32 | kapal | 1963 ed.: [ absent ]
- CJen.P 33:7 | karong itu | 1963 ed.: [ absent ]
- CJen.K 5:24 | kata | 1963 ed.: akan
- CJen.P 27:8 | kata | 1963 ed.: akan kata
- CJen.P 16:25 | (kata setengah tikar) | 1963 ed.: [ absent ]
- CJen.P 15:32 | katanya | 1963 ed.: berkata
- CJen.M 49:32 | katanya | 1963 ed.: maka katanya
- CJen.B 78:6 | katanya | 1963 ed.: [ absent ]
- CJen.M 50:12 | ke | 1963 ed.: [ absent ]
- CJen.L 87:2 | ke bawah | 1963 ed.: [ absent ]
- CJen.B 55:19 | kekas | 1963 ed.: bekas cakar
- CJen.L 84:16 | Keling | 1963 ed.: India
- CJen.L 84:23 | Keling | 1963 ed.: India
- CJen.L 84:31 | Keling | 1963 ed.: India
- CJen.L 85:8 | Keling | 1963 ed.: India
- CJen.L 85:15 | Keling | 1963 ed.: India
- CJen.L 85:27 | Keling | 1963 ed.: India
- CJen.L 86:1 | Keling | 1963 ed.: India
- CJen.L 86:2 | Keling | 1963 ed.: India
- CJen.L 86:6 | Keling | 1963 ed.: India
- CJen.L 86:10 | Keling | 1963 ed.: India
- CJen.L 86:14 | Keling | 1963 ed.: India
- CJen.L 86:24 | Keling | 1963 ed.: India
- CJen.L 92:25 | kemudian supaya | 1963 ed.: iaitu sesudah
- CJen.P 29:21 | kena-kena | 1963 ed.: kena
- CJen.P 41:14 | kepada | 1963 ed.: pada
- CJen.B 62:19 | kepada beta. Jikalau dapat beta kenalkan jantan betinanya | 1963 ed.: [ absent ]
- CJen.P 19:22 | kerbau itu | 1963 ed.: kerbau
- CJen.K 1:27 | kertas | 1963 ed.: dari kertas
- CJen.B 59:3 | ketakutannya | 1963 ed.: ketakutan
- CJen.P 23:27 | ketiga-tiga | 1963 ed.: ketiga
- CJen.M 48:23 | khenduri maulud | 1963 ed.: berkenduri
- CJen.L 80:23 | koyak-koyal | 1963 ed.: koyak-koyak
- CJen.P 36:30 | kubawakan | 1963 ed.: aku bawakan
- CJen.K 2:8 | lagi | 1963 ed.: [ absent ]
- CJen.P 32:23 | lagi | 1963 ed.: [ absent ]
- CJen.B 59:13 | lagi | 1963 ed.: [ absent ]
- CJen.P 26:14 | laki-isteri | 1963 ed.: bini
- CJen.P 18:32 | lalu | 1963 ed.: [ absent ]
- CJen.P 25:29 | lari oleh | 1963 ed.: oleh sebab
- CJen.B 74:19 | lautan | 1963 ed.: hutan
- CJen.P 13:16 | 'Mak | 1960 ed.: Maka
- CJen.B 70:7 | Maka | 1960 ed.: [ absent ]
- CJen.L 85:8 | mamak | 1960 ed.: [ absent ]
- CJen.K 6:26 | manalah | 1963 ed.: manakah
- CJen.M 48:17 | masing-masing | 1963 ed.: [ absent ]
- CJen.P 19:1 | mata | 1960 ed.: haka
- CJen.B 63:6 | Maula | 1963 ed.: Maulai
- CJen.K 9:18 | membentang | 1963 ed.: membentangkan
- CJen.K 7:21 | menerapa | 1963 ed.: menerpa
- CJen.P 15:32 | meneriak | 1963 ed.: meneriakkan
- CJen.M 51:17 | mengapitkan | 1963 ed.: mengepitkan
- CJen.K 4:9 | mengelepur | 1963 ed.: menggelepur
- CJen.P 41:18 | mengelupurlah | 1963 ed.: menggelupurlah
- CJen.P 47:10 | mengelupurlah | 1963 ed.: menggelupurlah
- CJen.B 70:2 | mengenali | 1963 ed.: mengenal
- CJen.P 33:18 | mengenangkan | 1963 ed.: menyudahkan
- CJen.K 2:28 | mengetahui | 1963 ed.: ketahui
- CJen.K 4:5 | mengoja-ngoja | 1963 ed.: mengoja-oja
- CJen.P 15:21 | menjeringing | 1963 ed.: menyeringai
- CJen.P 38:11 | menyampakkan | 1963 ed.: mencampakkan
- CJen.B 70:28 | menyembahkan | 1963 ed.: menyembah
- CJen.P 24:21 | menyuruhkan | 1963 ed.: menyuruh
- CJen.P 14:5 | merasai | 1963 ed.: merasa
- CJen.L 81:32 | murka | 1963 ed.: murkalah
- CJen.L 85:17 | negerinya | 1960 ed.: negeri
- CJen.K 7:25 | oleh | 1963 ed.: kerana
- CJen.P 30:20 | pada | 1960 ed.: puda [ sic ]
- CJen.P 44:26 | pergi Andih; tetapi berilah aku modal barang seratus rial, | 1963 ed.: pergi? Aku hendak pergi mencari sayur-sayur ke dalam repuh
- CJen.P 33:15 | perihalnya | 1963 ed.: perihal
- CJen.P 16:29 | perkuburan | 1963 ed.: pekuburan
- CJen.K 5:26 | persetua | 1963 ed.: peristiwa
- CJen.K 4:13 | pula | 1963 ed.: bila
- CJen.P 35:15 | pula | 1963 ed.: [ absent ]
- CJen.B 67:16 | pun | 1963 ed.: [ absent ]
- CJen.P 42:9 | putera baginda itu yang bernama | 1963 ed.: [ absent ]
- CJen.L 92:5 | puteranya | 1963 ed.: puterinya
- CJen.P 22:20 | rumahnya | 1963 ed.: rumah
- CJen.P 12:32 | rusa | 1963 ed.: rusa jantan
- CJen.K 5:12 | sabungan | 1963 ed.: sabung
- CJen.P 33:6 | sahaja | 1963 ed.: [ absent ]
- CJen.L 80:24 | sarang | 1960 ed.: orang [ sic ]
- CJen.B 70:22 | Sebenar-benarnyalah | 1963 ed.: Sebenarnyalah
- CJen.K 8:19 | sehulas | 1963 ed.: seulas
- CJen.B 73:5 | sekarang | 1963 ed.: nanti
- CJen.L 88:29 | sekira | 1963 ed.: sekiranya
- CJen.L 89:22 | selang | 1960 ed.: sedang [ sic ]
- CJen.P 13:31 | Sembelih | 1963 ed.: Sembelihlah
- CJen.B 62:27 | semuanya | ? sembahnya
- CJen.B 73:13 | semuanya | 1963 ed.: semua
- CJen.P 15:16 | Sepeninggal | 1963 ed.: Sepeninggalan
- CJen.P 20:2 | serapahnya | 1963 ed.: seranahnya
- CJen.P 22:29 | serapahnya | 1963 ed.: seranahnya
- CJen.L 90:28 | sesudah | 1960 ed.: awan
- CJen.P 35:11 | setelah | 1963 ed.: telah
- CJen.L 96:15 | setiap-tiap | 1963 ed.: setiap
- CJen.K 5:15 | Sitinya | 1963 ed.: Siti
- CJen.B 57:31 | subhanahu wata`ala | 1963 ed.: [ absent ]
- CJen.P 44:31 | sudah | 1963 ed.: [ absent ]
- CJen.P 27:3 | sungai itu | 1963 ed.: sungai
- CJen.P 32:14 | tampak | 1963 ed.: nampak
- CJen.P 32:18 | tampak | 1963 ed.: nampak
- CJen.P 32:30 | tampak | 1963 ed.: nampak
- CJen.P 38:3 | tampak | 1963 ed.: nampak
- CJen.P 36:8 | tampaklah | 1963 ed.: nampaklah
- CJen.P 36:11 | tampaklah | 1963 ed.: nampaklah
- CJen.K 3:28 | tanggungan | 1960 ed.: agungan
- CJen.P 22:29 | tenarlah | 1960 ed.: tenatlah
- CJen.P 45:12 | terbau | 1963 ed.: berbau
- CJen.P 35:10 | terkecil | 1963 ed.: berkecil
- CJen.P 16:4 | terpandangnya | 1963 ed.: terpandanglah
- CJen.P 46:15 | (tertalar-talar) | 1963 ed.: [ absent ]
- CJen.P 35:14 | tiadalah | 1963 ed.: tiada
- CJen.K 1:28 | tinggi lagi | 1963 ed.: menjahitnya
- CJen.L 93:24 | Tuan | 1963 ed.: [ absent ]
- CJen.P 13:10 | tulu | 1963 ed.: tolol
- CJen.P 20:4 | tulu | 1963 ed.: tolol
- CJen.B 53:23 | ulat | 1960 ed.: hulat
- CJen.P 13:20 | umpan | 1963 ed.: umpannya
- CJen.P 29:26 | usahlah | 1963 ed.: usah
Source bibliography: https://mcp.anu.edu.au/N/CJen_bib.html
Source text notes: https://mcp.anu.edu.au/N/CJen_notes.html
[END MCP TEXT METADATA]
